key,ticker,label,score,quote
AAPL_8-K_0000320193-22-000069,AAPL,positive,0.9461," The Company posted a June quarter revenue record of $83. 0 billion, up 2 percent year over year, and quarterly earnings per diluted share of $1. 20.  “This quarter’s record results speak to Apple’s c"
AAPL_8-K_0000320193-22-000107,AAPL,positive,0.9497," Annual revenue was $394. 3 billion, up 8 percent year over year, and annual earnings per diluted share were $6. 11, up 9 percent year over year.  “This quarter’s results reflect Apple’s commitment to"
AAPL_8-K_0000320193-23-000005,AAPL,negative,0.9647," The Company posted quarterly revenue of $117. 2 billion, down 5 percent year over year, and quarterly earnings per diluted share of $1. 88.  “As we all continue to navigate a challenging environment,"
AAPL_8-K_0000320193-23-000063,AAPL,negative,0.7234," The Company posted quarterly revenue of $94. 8 billion, down 3 percent year over year, and quarterly earnings per diluted share of $1. 52, unchanged year over year.  “We are pleased to report an all-"
AAPL_8-K_0000320193-23-000075,AAPL,negative,0.8161," The Company posted quarterly revenue of $81. 8 billion, down 1 percent year over year, and quarterly earnings per diluted share of $1. 26, up 5 percent year over year.  “We are happy to report that w"
AAPL_8-K_0000320193-23-000104,AAPL,negative,0.8683," The Company posted quarterly revenue of $89. 5 billion, down 1 percent year over year, and quarterly earnings per diluted share of $1. 46, up 13 percent year over year.  “Today Apple is pleased to re"
AAPL_8-K_0000320193-24-000005,AAPL,positive,0.9505," The Company posted quarterly revenue of $119. 6 billion, up 2 percent year over year, and quarterly earnings per diluted share of $2. 18, up 16 percent year over year.  “Today Apple is reporting reve"
AAPL_8-K_0000320193-24-000067,AAPL,negative,0.971,"8 billion, down 4 percent year over year, and quarterly earnings per diluted share of $1. 53.  “Today Apple is reporting revenue of $90. 8 billion for the March quarter, including an all-time revenue "
AAPL_8-K_0000320193-24-000080,AAPL,positive,0.9507,"8 billion, up 5 percent year over year, and quarterly earnings per diluted share of $1. 40, up 11 percent year over year.  “Today Apple is reporting a new June quarter revenue record of $85. 8 billion"
AAPL_8-K_0000320193-24-000120,AAPL,positive,0.9502," Diluted earnings per share was $1. 64, 1 up 12 percent year over year when excluding the one-time charge recognized during the fourth quarter of 2024 related to the impact of the reversal of the Euro"
AAPL_8-K_0001140361-23-011192,AAPL,neutral,0.9414,Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identification 
AAPL_8-K_0001140361-23-023909,AAPL,neutral,0.9414,Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identification 
AAPL_8-K_0001140361-24-010155,AAPL,neutral,0.9427,te of Report (Date of earliest event reported) (Exact name of Registrant as specified in its charter) (State or other jurisdiction of incorporation) (Commission File Number) (I.R.S. Employer Identific
